,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0,Delicious Donuts From The Balkans,Diz,Carlos Bica / Ana Brandao,276533,spotify:track:6xR08CGMiP39FTk2dqKjEX,https://api.spotify.com/v1/tracks/6xR08CGMiP39FTk2dqKjEX,0.369,0.383,2.0,-13.355,0.0,0.0457,0.872,0.931,0.1,0.279,84.341,audio_features,6xR08CGMiP39FTk2dqKjEX,spotify:track:6xR08CGMiP39FTk2dqKjEX,https://api.spotify.com/v1/tracks/6xR08CGMiP39FTk2dqKjEX,https://api.spotify.com/v1/audio-analysis/6xR08CGMiP39FTk2dqKjEX,276533.0,4.0,
1,Billie Plan,Billie Plan,Bestone,162797,spotify:track:7snSqII1eDiOF7TugXJX6e,https://api.spotify.com/v1/tracks/7snSqII1eDiOF7TugXJX6e,0.441,0.51,10.0,-9.557,0.0,0.341,0.418,0.0,0.142,0.499,71.943,audio_features,7snSqII1eDiOF7TugXJX6e,spotify:track:7snSqII1eDiOF7TugXJX6e,https://api.spotify.com/v1/tracks/7snSqII1eDiOF7TugXJX6e,https://api.spotify.com/v1/audio-analysis/7snSqII1eDiOF7TugXJX6e,162797.0,4.0,
2,Double Horse,Born With The Caul,Cian Nugent,1005773,spotify:track:2UBvY9Upu0krC5xFKhM8kQ,https://api.spotify.com/v1/tracks/2UBvY9Upu0krC5xFKhM8kQ,0.278,0.378,9.0,-10.175,1.0,0.0288,0.476,0.752,0.0987,0.0673,142.466,audio_features,2UBvY9Upu0krC5xFKhM8kQ,spotify:track:2UBvY9Upu0krC5xFKhM8kQ,https://api.spotify.com/v1/tracks/2UBvY9Upu0krC5xFKhM8kQ,https://api.spotify.com/v1/audio-analysis/2UBvY9Upu0krC5xFKhM8kQ,1005773.0,4.0,
3,Hikari Sun - Instrumental mix,Hikari Plus,Pool Moon Elephant,185806,spotify:track:5d0fz08y99a7quxULt4qYd,https://api.spotify.com/v1/tracks/5d0fz08y99a7quxULt4qYd,0.694,0.859,2.0,-4.851,1.0,0.0335,0.00228,0.778,0.346,0.844,124.018,audio_features,5d0fz08y99a7quxULt4qYd,spotify:track:5d0fz08y99a7quxULt4qYd,https://api.spotify.com/v1/tracks/5d0fz08y99a7quxULt4qYd,https://api.spotify.com/v1/audio-analysis/5d0fz08y99a7quxULt4qYd,185806.0,4.0,
4,Back In Nagasaki,"Twist It, Babe!",Catfish Keith,152306,spotify:track:0Rmz8JPETrFmrHKiswC5us,https://api.spotify.com/v1/tracks/0Rmz8JPETrFmrHKiswC5us,0.916,0.381,2.0,-13.173,1.0,0.244,0.372,0.0152,0.118,0.892,113.825,audio_features,0Rmz8JPETrFmrHKiswC5us,spotify:track:0Rmz8JPETrFmrHKiswC5us,https://api.spotify.com/v1/tracks/0Rmz8JPETrFmrHKiswC5us,https://api.spotify.com/v1/audio-analysis/0Rmz8JPETrFmrHKiswC5us,152307.0,4.0,
5,My Daddy Was Right,Got a New Plan,Nick Moss & The Flip Tops,285373,spotify:track:0AjtI1LEfvfhwTLPYxk9Ul,https://api.spotify.com/v1/tracks/0AjtI1LEfvfhwTLPYxk9Ul,0.462,0.674,0.0,-7.021,1.0,0.104,0.221,0.000263,0.104,0.637,80.796,audio_features,0AjtI1LEfvfhwTLPYxk9Ul,spotify:track:0AjtI1LEfvfhwTLPYxk9Ul,https://api.spotify.com/v1/tracks/0AjtI1LEfvfhwTLPYxk9Ul,https://api.spotify.com/v1/audio-analysis/0AjtI1LEfvfhwTLPYxk9Ul,285373.0,4.0,
6,Power of a Moment,Short Term Memories,Chris Rice,247756,spotify:track:3Dep7glhOxISYpVM3BYae4,https://api.spotify.com/v1/tracks/3Dep7glhOxISYpVM3BYae4,0.603,0.737,9.0,-8.929,1.0,0.0448,0.00926,3.58e-05,0.0851,0.575,97.517,audio_features,3Dep7glhOxISYpVM3BYae4,spotify:track:3Dep7glhOxISYpVM3BYae4,https://api.spotify.com/v1/tracks/3Dep7glhOxISYpVM3BYae4,https://api.spotify.com/v1/audio-analysis/3Dep7glhOxISYpVM3BYae4,247757.0,4.0,
7,"Don Pasquale / Act I: ""Sogno soave e casto mi fa il destin mendico""",Rolando Villazón - The Opera,Gaetano Donizetti,361160,spotify:track:1txpoCqq7VyiVdIbcwxCFo,https://api.spotify.com/v1/tracks/1txpoCqq7VyiVdIbcwxCFo,0.395,0.192,3.0,-18.508,1.0,0.0532,0.962,0.000416,0.108,0.34,68.32,audio_features,1txpoCqq7VyiVdIbcwxCFo,spotify:track:1txpoCqq7VyiVdIbcwxCFo,https://api.spotify.com/v1/tracks/1txpoCqq7VyiVdIbcwxCFo,https://api.spotify.com/v1/audio-analysis/1txpoCqq7VyiVdIbcwxCFo,361160.0,4.0,
8,Ram Ranch 117,Ram Ranch 117,Grant Macdonald,288444,spotify:track:6WZGSJ8DFUHt3R7mjxnXa7,https://api.spotify.com/v1/tracks/6WZGSJ8DFUHt3R7mjxnXa7,0.309,0.935,1.0,-3.037,1.0,0.231,0.175,1.34e-06,0.32,0.446,82.426,audio_features,6WZGSJ8DFUHt3R7mjxnXa7,spotify:track:6WZGSJ8DFUHt3R7mjxnXa7,https://api.spotify.com/v1/tracks/6WZGSJ8DFUHt3R7mjxnXa7,https://api.spotify.com/v1/audio-analysis/6WZGSJ8DFUHt3R7mjxnXa7,288445.0,1.0,
9,No Time To Kill,The TV Sound,The TV Sound,286426,spotify:track:4h0ZQ0OQ4Yyxl2SPaEQkeK,https://api.spotify.com/v1/tracks/4h0ZQ0OQ4Yyxl2SPaEQkeK,0.686,0.94,10.0,-5.742,1.0,0.0418,0.0611,0.00117,0.136,0.536,122.987,audio_features,4h0ZQ0OQ4Yyxl2SPaEQkeK,spotify:track:4h0ZQ0OQ4Yyxl2SPaEQkeK,https://api.spotify.com/v1/tracks/4h0ZQ0OQ4Yyxl2SPaEQkeK,https://api.spotify.com/v1/audio-analysis/4h0ZQ0OQ4Yyxl2SPaEQkeK,286427.0,4.0,
10,"Quatuor avec piano No. 2 in A Major, Op. 26: I. Allegro non troppo","Brahms: Musique de chambre - La discothèque idéale de Diapason, Vol. 6",Johannes Brahms,737026,spotify:track:7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/tracks/7x5W6vioUH7atjW2S49Ree,0.338,0.271,9.0,-11.315,1.0,0.0387,0.984,0.613,0.134,0.25,91.167,audio_features,7x5W6vioUH7atjW2S49Ree,spotify:track:7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/tracks/7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/audio-analysis/7x5W6vioUH7atjW2S49Ree,737027.0,3.0,
11,How Insensitive,My Foolish Heart,Liz Story,212293,spotify:track:39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/tracks/39WvMPnIn6ivu4Fc8Es9oq,0.569,0.124,7.0,-23.157,0.0,0.0585,0.99,0.886,0.111,0.127,119.331,audio_features,39WvMPnIn6ivu4Fc8Es9oq,spotify:track:39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/tracks/39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/audio-analysis/39WvMPnIn6ivu4Fc8Es9oq,212293.0,4.0,
12,Rock in a Hard Place,Halo: Combat Evolved Anniversary (Original Soundtrack),Brian Trifon,79213,spotify:track:1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/tracks/1RvcS4PS2INOgeeKIqyIuv,0.413,0.993,6.0,-5.634,0.0,0.263,0.0303,0.668,0.173,0.0358,187.541,audio_features,1RvcS4PS2INOgeeKIqyIuv,spotify:track:1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/tracks/1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/audio-analysis/1RvcS4PS2INOgeeKIqyIuv,79213.0,3.0,
13,Medley: Moondance / My Funny Valentine - Live,A Night In San Francisco (Live),Van Morrison,550133,spotify:track:2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/tracks/2uG4Sv1mD5Rk14vEr2p530,0.338,0.814,7.0,-7.798,0.0,0.0814,0.397,4.66e-05,0.979,0.578,92.503,audio_features,2uG4Sv1mD5Rk14vEr2p530,spotify:track:2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/tracks/2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/audio-analysis/2uG4Sv1mD5Rk14vEr2p530,550133.0,4.0,
14,"Canon and gigue, for 3 violins & continuo in D major, T. 337 - Canon in D",Meditation: The Greatest Hits 2-Cd Set,Royal Philharmonic Orchestra,288866,spotify:track:1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/tracks/1E2dhtEgMeSMJERlijJnRh,0.207,0.158,1.0,-18.006,1.0,0.0355,0.85,0.508,0.184,0.195,99.786,audio_features,1E2dhtEgMeSMJERlijJnRh,spotify:track:1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/tracks/1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/audio-analysis/1E2dhtEgMeSMJERlijJnRh,288867.0,4.0,
15,What I Learned From Loving You,Tammy Cochran,Tammy Cochran,227066,spotify:track:1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/tracks/1Oishxtjz0GEc9qvrq3Fc3,0.449,0.28,9.0,-10.141,1.0,0.028,0.69,0.0,0.337,0.14,71.862,audio_features,1Oishxtjz0GEc9qvrq3Fc3,spotify:track:1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/tracks/1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/audio-analysis/1Oishxtjz0GEc9qvrq3Fc3,227067.0,4.0,
16,Are You Lost in Sin,Gospel Time - HH-1365,Big Country Bluegrass,184920,spotify:track:5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/tracks/5wjyALZ6Mmo0oDvLzZpJfd,0.652,0.56,0.0,-8.682,1.0,0.0306,0.486,0.000951,0.291,0.872,126.667,audio_features,5wjyALZ6Mmo0oDvLzZpJfd,spotify:track:5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/tracks/5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/audio-analysis/5wjyALZ6Mmo0oDvLzZpJfd,184920.0,4.0,
17,Derminal Tusk,Crimson,Enduser,342533,spotify:track:4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/tracks/4sTRTYwa3fc4W13xcdVxaH,0.542,0.759,2.0,-7.644,1.0,0.0614,0.0234,0.874,0.102,0.146,173.079,audio_features,4sTRTYwa3fc4W13xcdVxaH,spotify:track:4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/tracks/4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/audio-analysis/4sTRTYwa3fc4W13xcdVxaH,342533.0,4.0,
18,"Light, Raking",Siberia,Polvo,271466,spotify:track:3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/tracks/3UdsnasYitCkSwtQvbOl90,0.404,0.753,6.0,-7.671,0.0,0.0376,0.00034,0.0617,0.337,0.324,121.715,audio_features,3UdsnasYitCkSwtQvbOl90,spotify:track:3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/tracks/3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/audio-analysis/3UdsnasYitCkSwtQvbOl90,271467.0,4.0,
19,"5 German Dances, D.89 (D.90) - Arranged For 7 Trios And 1 Coda For String Quartett: 1. Deutscher Tanz - Trio I - Trio II In C Major",Cosy Fireplace with Schubert,Franz Schubert,208826,spotify:track:5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/tracks/5ctIAL9CHv8CoQj8iA9vwn,0.375,0.0441,0.0,-26.694,1.0,0.0463,0.887,0.607,0.24,0.181,134.366,audio_features,5ctIAL9CHv8CoQj8iA9vwn,spotify:track:5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/tracks/5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/audio-analysis/5ctIAL9CHv8CoQj8iA9vwn,208827.0,3.0,
20,Bangkok Downtown,War (Original Motion Picture Soundtrack),Brian Tyler,138000,spotify:track:74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/tracks/74M7RgdENn9G2t0qkbSkn6,0.718,0.746,11.0,-10.14,1.0,0.143,0.0233,0.87,0.1,0.948,159.987,audio_features,74M7RgdENn9G2t0qkbSkn6,spotify:track:74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/tracks/74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/audio-analysis/74M7RgdENn9G2t0qkbSkn6,138000.0,4.0,
