,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0,"Les Belles Américaines, Waltz",Offenbach In America,Jacques Offenbach,389400,spotify:track:7F4lISAioVeIRpUx6vAqKE,https://api.spotify.com/v1/tracks/7F4lISAioVeIRpUx6vAqKE,0.34,0.133,9.0,-20.635,1.0,0.0357,0.948,0.16,0.179,0.238,93.538,audio_features,7F4lISAioVeIRpUx6vAqKE,spotify:track:7F4lISAioVeIRpUx6vAqKE,https://api.spotify.com/v1/tracks/7F4lISAioVeIRpUx6vAqKE,https://api.spotify.com/v1/audio-analysis/7F4lISAioVeIRpUx6vAqKE,389400.0,1.0,
1,"Musette, Air de ballet du 17e siècle, Op. 24",Offenbach In America,Jacques Offenbach,250466,spotify:track:3stHYUFZ3DcAjbsjxAiRGu,https://api.spotify.com/v1/tracks/3stHYUFZ3DcAjbsjxAiRGu,0.245,0.0136,9.0,-30.443,0.0,0.0405,0.977,0.223,0.116,0.148,129.15,audio_features,3stHYUFZ3DcAjbsjxAiRGu,spotify:track:3stHYUFZ3DcAjbsjxAiRGu,https://api.spotify.com/v1/tracks/3stHYUFZ3DcAjbsjxAiRGu,https://api.spotify.com/v1/audio-analysis/3stHYUFZ3DcAjbsjxAiRGu,250467.0,4.0,
2,Orpheus in Hades: Overture,Offenbach: Gaite Parisienne; The Tales of Hoffmann: Intermezzo,Jacques Offenbach,558226,spotify:track:6zORnijADSC1YryscG8VOG,https://api.spotify.com/v1/tracks/6zORnijADSC1YryscG8VOG,0.254,0.126,2.0,-20.712,1.0,0.0412,0.934,0.151,0.166,0.186,92.175,audio_features,6zORnijADSC1YryscG8VOG,spotify:track:6zORnijADSC1YryscG8VOG,https://api.spotify.com/v1/tracks/6zORnijADSC1YryscG8VOG,https://api.spotify.com/v1/audio-analysis/6zORnijADSC1YryscG8VOG,558227.0,4.0,
3,Divertissement: 1. Introduction,Jean Martinon: Complete Decca Recordings 1951-1960,Jacques Ibert,66266,spotify:track:2OE0WCncdXLRMZHSxpT0KG,https://api.spotify.com/v1/tracks/2OE0WCncdXLRMZHSxpT0KG,0.334,0.495,7.0,-15.062,1.0,0.0325,0.757,0.925,0.706,0.735,136.597,audio_features,2OE0WCncdXLRMZHSxpT0KG,spotify:track:2OE0WCncdXLRMZHSxpT0KG,https://api.spotify.com/v1/tracks/2OE0WCncdXLRMZHSxpT0KG,https://api.spotify.com/v1/audio-analysis/2OE0WCncdXLRMZHSxpT0KG,66267.0,4.0,
4,Divertissement: 2. Cortège,The Decca Sound - Highlights,Jacques Ibert,290333,spotify:track:247TYyI60K4caeSsxgRzoa,https://api.spotify.com/v1/tracks/247TYyI60K4caeSsxgRzoa,0.358,0.206,1.0,-16.217,1.0,0.0566,0.763,0.24,0.626,0.183,127.367,audio_features,247TYyI60K4caeSsxgRzoa,spotify:track:247TYyI60K4caeSsxgRzoa,https://api.spotify.com/v1/tracks/247TYyI60K4caeSsxgRzoa,https://api.spotify.com/v1/audio-analysis/247TYyI60K4caeSsxgRzoa,290333.0,4.0,
5,Divertissement: III. Nocturne,LCO Live – Ravel | Fauré | Poulenc | Ibert,Jacques Ibert,171665,spotify:track:4u0Bj9YQhvPYCJmk44cJQZ,https://api.spotify.com/v1/tracks/4u0Bj9YQhvPYCJmk44cJQZ,0.143,0.00151,6.0,-37.479,1.0,0.0473,0.915,0.483,0.0922,0.0331,71.045,audio_features,4u0Bj9YQhvPYCJmk44cJQZ,spotify:track:4u0Bj9YQhvPYCJmk44cJQZ,https://api.spotify.com/v1/tracks/4u0Bj9YQhvPYCJmk44cJQZ,https://api.spotify.com/v1/audio-analysis/4u0Bj9YQhvPYCJmk44cJQZ,171665.0,4.0,
6,Divertissement: 4. Valse,The French Connection,Jacques Ibert,168760,spotify:track:04GkfI1DiemjOuOn4OOsMS,https://api.spotify.com/v1/tracks/04GkfI1DiemjOuOn4OOsMS,0.334,0.27,7.0,-16.882,1.0,0.0458,0.905,0.861,0.073,0.471,113.241,audio_features,04GkfI1DiemjOuOn4OOsMS,spotify:track:04GkfI1DiemjOuOn4OOsMS,https://api.spotify.com/v1/tracks/04GkfI1DiemjOuOn4OOsMS,https://api.spotify.com/v1/audio-analysis/04GkfI1DiemjOuOn4OOsMS,168760.0,4.0,
7,Divertissement: V. Parade,Divertissement!,Jacques Ibert,104413,spotify:track:7dBr7HiAY00oVORBrYhdI8,https://api.spotify.com/v1/tracks/7dBr7HiAY00oVORBrYhdI8,0.384,0.0761,10.0,-22.105,1.0,0.0403,0.916,0.914,0.133,0.646,121.406,audio_features,7dBr7HiAY00oVORBrYhdI8,spotify:track:7dBr7HiAY00oVORBrYhdI8,https://api.spotify.com/v1/tracks/7dBr7HiAY00oVORBrYhdI8,https://api.spotify.com/v1/audio-analysis/7dBr7HiAY00oVORBrYhdI8,104413.0,4.0,
8,Divertissement: VI. Finale,LCO Live – Ravel | Fauré | Poulenc | Ibert,Jacques Ibert,130237,spotify:track:1lp6AMQA5N0HRHb2iGEPhz,https://api.spotify.com/v1/tracks/1lp6AMQA5N0HRHb2iGEPhz,0.294,0.846,3.0,-14.852,1.0,0.456,0.631,0.621,0.67,0.216,86.788,audio_features,1lp6AMQA5N0HRHb2iGEPhz,spotify:track:1lp6AMQA5N0HRHb2iGEPhz,https://api.spotify.com/v1/tracks/1lp6AMQA5N0HRHb2iGEPhz,https://api.spotify.com/v1/audio-analysis/1lp6AMQA5N0HRHb2iGEPhz,130238.0,4.0,
9,Kissing My Song - Live Version - 1997,Indo Live,Indochine,265533,spotify:track:0imUL6yEI5or7drnrdSe6w,https://api.spotify.com/v1/tracks/0imUL6yEI5or7drnrdSe6w,0.213,0.865,2.0,-8.761,1.0,0.0607,0.126,0.0354,0.715,0.309,165.596,audio_features,0imUL6yEI5or7drnrdSe6w,spotify:track:0imUL6yEI5or7drnrdSe6w,https://api.spotify.com/v1/tracks/0imUL6yEI5or7drnrdSe6w,https://api.spotify.com/v1/audio-analysis/0imUL6yEI5or7drnrdSe6w,265533.0,4.0,
10,Les tzars - Live Version - 1997,Indo Live,Indochine,292866,spotify:track:5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/tracks/5IssPJneSjqVlvA6ZfghVL,0.47,0.893,10.0,-8.418,0.0,0.0649,0.229,2.05e-05,0.9,0.543,144.05,audio_features,5IssPJneSjqVlvA6ZfghVL,spotify:track:5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/tracks/5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/audio-analysis/5IssPJneSjqVlvA6ZfghVL,292867.0,4.0,
11,Trois nuits par semaine,Putain de stade,Indochine,551706,spotify:track:7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/tracks/7HGeeuXL4KuztZXhYLrsm5,0.295,0.979,9.0,-5.123,1.0,0.128,0.00209,0.817,0.949,0.0487,144.126,audio_features,7HGeeuXL4KuztZXhYLrsm5,spotify:track:7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/tracks/7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/audio-analysis/7HGeeuXL4KuztZXhYLrsm5,551707.0,4.0,
12,Des fleurs pour Salinger - Live Version - 1997,Indo Live,Indochine,383773,spotify:track:5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/tracks/5nLZCzXFaeTlYwT3FfqRnG,0.253,0.825,5.0,-12.954,1.0,0.326,0.00535,0.588,0.969,0.127,139.965,audio_features,5nLZCzXFaeTlYwT3FfqRnG,spotify:track:5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/tracks/5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/audio-analysis/5nLZCzXFaeTlYwT3FfqRnG,383773.0,4.0,
13,La chevauchée des champs de blé - Mix 2020,Singles Collection (1981-2001),Indochine,265786,spotify:track:5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/tracks/5C1pvHoWyoBQvvuFJGzaM3,0.651,0.941,6.0,-4.37,1.0,0.0354,0.161,8.5e-05,0.068,0.863,138.073,audio_features,5C1pvHoWyoBQvvuFJGzaM3,spotify:track:5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/tracks/5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/audio-analysis/5C1pvHoWyoBQvvuFJGzaM3,265787.0,4.0,
14,Kao bang,Putain de stade,Indochine,193466,spotify:track:5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/tracks/5o69CcRJnHEEcvPk21ANib,0.227,0.967,0.0,-6.802,0.0,0.157,0.0875,0.0535,0.843,0.346,120.396,audio_features,5o69CcRJnHEEcvPk21ANib,spotify:track:5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/tracks/5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/audio-analysis/5o69CcRJnHEEcvPk21ANib,193467.0,4.0,
