,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,What Have I Done Wrong?,Blue Streak,Luther Allison,288426,spotify:track:4ZWbeYkqHG7oYEOoDFBuFz,https://api.spotify.com/v1/tracks/4ZWbeYkqHG7oYEOoDFBuFz,0.691,0.787,0,-9.323,1,0.0361,0.0353,0.021,0.476,0.892,113.03,audio_features,4ZWbeYkqHG7oYEOoDFBuFz,spotify:track:4ZWbeYkqHG7oYEOoDFBuFz,https://api.spotify.com/v1/tracks/4ZWbeYkqHG7oYEOoDFBuFz,https://api.spotify.com/v1/audio-analysis/4ZWbeYkqHG7oYEOoDFBuFz,288427,4
1,Move from The 'Hood,Notodden Blues Festival-The Best of People and Blues-Nbf Vol. 3,Luther Allison,441320,spotify:track:5fnTLizxBO2bxTz0VgEykU,https://api.spotify.com/v1/tracks/5fnTLizxBO2bxTz0VgEykU,0.419,0.916,9,-6.892,1,0.0667,0.0278,0.0322,0.983,0.668,119.472,audio_features,5fnTLizxBO2bxTz0VgEykU,spotify:track:5fnTLizxBO2bxTz0VgEykU,https://api.spotify.com/v1/tracks/5fnTLizxBO2bxTz0VgEykU,https://api.spotify.com/v1/audio-analysis/5fnTLizxBO2bxTz0VgEykU,441320,4
2,What's Going On In My Home?,Live In Chicago,Luther Allison,434106,spotify:track:61lSGpTVfNPra28Xo971NT,https://api.spotify.com/v1/tracks/61lSGpTVfNPra28Xo971NT,0.36,0.831,9,-7.428,1,0.0533,0.0628,0.112,0.725,0.501,96.363,audio_features,61lSGpTVfNPra28Xo971NT,spotify:track:61lSGpTVfNPra28Xo971NT,https://api.spotify.com/v1/tracks/61lSGpTVfNPra28Xo971NT,https://api.spotify.com/v1/audio-analysis/61lSGpTVfNPra28Xo971NT,434107,4
3,Cherry Red Wine,Live In Chicago,Luther Allison,516106,spotify:track:4gjtKJBjWE5tDpS86l2qyi,https://api.spotify.com/v1/tracks/4gjtKJBjWE5tDpS86l2qyi,0.276,0.841,2,-6.229,0,0.0615,0.0671,0.0127,0.934,0.602,149.075,audio_features,4gjtKJBjWE5tDpS86l2qyi,spotify:track:4gjtKJBjWE5tDpS86l2qyi,https://api.spotify.com/v1/tracks/4gjtKJBjWE5tDpS86l2qyi,https://api.spotify.com/v1/audio-analysis/4gjtKJBjWE5tDpS86l2qyi,516107,3
4,Walking Papers,Blue Streak,Luther Allison,268733,spotify:track:36IfLEQDbvzI8mMhXxHkoS,https://api.spotify.com/v1/tracks/36IfLEQDbvzI8mMhXxHkoS,0.564,0.902,0,-7.19,1,0.0474,0.0706,0.0314,0.349,0.687,112.197,audio_features,36IfLEQDbvzI8mMhXxHkoS,spotify:track:36IfLEQDbvzI8mMhXxHkoS,https://api.spotify.com/v1/tracks/36IfLEQDbvzI8mMhXxHkoS,https://api.spotify.com/v1/audio-analysis/36IfLEQDbvzI8mMhXxHkoS,268733,4
5,Think With Your Heart,Blue Streak,Luther Allison,297200,spotify:track:37zMHO2UyycZSQ7kVBwd2E,https://api.spotify.com/v1/tracks/37zMHO2UyycZSQ7kVBwd2E,0.531,0.512,0,-10.746,1,0.0362,0.0989,5.11e-06,0.0437,0.537,167.899,audio_features,37zMHO2UyycZSQ7kVBwd2E,spotify:track:37zMHO2UyycZSQ7kVBwd2E,https://api.spotify.com/v1/tracks/37zMHO2UyycZSQ7kVBwd2E,https://api.spotify.com/v1/audio-analysis/37zMHO2UyycZSQ7kVBwd2E,297200,3
6,Should I Wait,Blue Streak,Luther Allison,304600,spotify:track:67L8LqiE2SM3ZXUb2GaNJX,https://api.spotify.com/v1/tracks/67L8LqiE2SM3ZXUb2GaNJX,0.638,0.738,9,-9.563,1,0.0271,0.0315,0.000634,0.211,0.816,104.098,audio_features,67L8LqiE2SM3ZXUb2GaNJX,spotify:track:67L8LqiE2SM3ZXUb2GaNJX,https://api.spotify.com/v1/tracks/67L8LqiE2SM3ZXUb2GaNJX,https://api.spotify.com/v1/audio-analysis/67L8LqiE2SM3ZXUb2GaNJX,304600,3
7,Let Me Stir In Your Pot,Southern Cookin' & Drinkin' Classics,Carey Bell,222533,spotify:track:2BsIvjPfF6Ro4RNM2Ug9uS,https://api.spotify.com/v1/tracks/2BsIvjPfF6Ro4RNM2Ug9uS,0.495,0.743,0,-6.965,1,0.0377,0.0698,0.00471,0.568,0.85,147.525,audio_features,2BsIvjPfF6Ro4RNM2Ug9uS,spotify:track:2BsIvjPfF6Ro4RNM2Ug9uS,https://api.spotify.com/v1/tracks/2BsIvjPfF6Ro4RNM2Ug9uS,https://api.spotify.com/v1/audio-analysis/2BsIvjPfF6Ro4RNM2Ug9uS,222533,4
8,When I Get Drunk,Blues in the Bar - Blues Drinkin' Songs,Carey Bell,316000,spotify:track:5UiOSCYGbD3ZqNvlolPbJb,https://api.spotify.com/v1/tracks/5UiOSCYGbD3ZqNvlolPbJb,0.64,0.5,2,-11.353,1,0.0395,0.356,0.00852,0.368,0.552,119.318,audio_features,5UiOSCYGbD3ZqNvlolPbJb,spotify:track:5UiOSCYGbD3ZqNvlolPbJb,https://api.spotify.com/v1/tracks/5UiOSCYGbD3ZqNvlolPbJb,https://api.spotify.com/v1/audio-analysis/5UiOSCYGbD3ZqNvlolPbJb,316000,4
9,Low Down Dirty Shame,Deep Down,Carey Bell,269360,spotify:track:4wexHNf3uBEkb4CDvRjAeu,https://api.spotify.com/v1/tracks/4wexHNf3uBEkb4CDvRjAeu,0.61,0.92,7,-7.758,1,0.0343,0.104,0.0113,0.247,0.861,100.407,audio_features,4wexHNf3uBEkb4CDvRjAeu,spotify:track:4wexHNf3uBEkb4CDvRjAeu,https://api.spotify.com/v1/tracks/4wexHNf3uBEkb4CDvRjAeu,https://api.spotify.com/v1/audio-analysis/4wexHNf3uBEkb4CDvRjAeu,269360,4
10,Borrow Your Love,Deep Down,Carey Bell,239440,spotify:track:4itWbn7w5vfDdAsksT18qq,https://api.spotify.com/v1/tracks/4itWbn7w5vfDdAsksT18qq,0.484,0.572,9,-10.507,1,0.0336,0.338,0.0893,0.308,0.751,112.049,audio_features,4itWbn7w5vfDdAsksT18qq,spotify:track:4itWbn7w5vfDdAsksT18qq,https://api.spotify.com/v1/tracks/4itWbn7w5vfDdAsksT18qq,https://api.spotify.com/v1/audio-analysis/4itWbn7w5vfDdAsksT18qq,239440,3
11,Lonesome Stranger,Deep Down,Carey Bell,243653,spotify:track:3h9uiEJqH9VU9ONNcYiHxR,https://api.spotify.com/v1/tracks/3h9uiEJqH9VU9ONNcYiHxR,0.568,0.47,4,-11.283,0,0.0263,0.424,0.0536,0.107,0.793,150.921,audio_features,3h9uiEJqH9VU9ONNcYiHxR,spotify:track:3h9uiEJqH9VU9ONNcYiHxR,https://api.spotify.com/v1/tracks/3h9uiEJqH9VU9ONNcYiHxR,https://api.spotify.com/v1/audio-analysis/3h9uiEJqH9VU9ONNcYiHxR,243653,3
12,I Got A Rich Man's Woman,American Blues - Harmonica Highlights,Carey Bell,283133,spotify:track:39iUAjkbvdC9lDi9q7nmsX,https://api.spotify.com/v1/tracks/39iUAjkbvdC9lDi9q7nmsX,0.374,0.446,2,-10.629,0,0.0321,0.566,0.0477,0.442,0.65,166.508,audio_features,39iUAjkbvdC9lDi9q7nmsX,spotify:track:39iUAjkbvdC9lDi9q7nmsX,https://api.spotify.com/v1/tracks/39iUAjkbvdC9lDi9q7nmsX,https://api.spotify.com/v1/audio-analysis/39iUAjkbvdC9lDi9q7nmsX,283133,3
13,Must I Holler?,Deep Down,Carey Bell,420866,spotify:track:41iemT87na2zt4TY4j0jok,https://api.spotify.com/v1/tracks/41iemT87na2zt4TY4j0jok,0.5,0.281,2,-13.039,0,0.0292,0.588,0.0563,0.128,0.511,139.207,audio_features,41iemT87na2zt4TY4j0jok,spotify:track:41iemT87na2zt4TY4j0jok,https://api.spotify.com/v1/tracks/41iemT87na2zt4TY4j0jok,https://api.spotify.com/v1/audio-analysis/41iemT87na2zt4TY4j0jok,420867,3
14,Tired Of Giving You My Love,Deep Down,Carey Bell,229826,spotify:track:6QXZcd5aptBvIsdVBbdBuE,https://api.spotify.com/v1/tracks/6QXZcd5aptBvIsdVBbdBuE,0.493,0.861,2,-8.989,1,0.0395,0.196,0.0054,0.0691,0.887,108.916,audio_features,6QXZcd5aptBvIsdVBbdBuE,spotify:track:6QXZcd5aptBvIsdVBbdBuE,https://api.spotify.com/v1/tracks/6QXZcd5aptBvIsdVBbdBuE,https://api.spotify.com/v1/audio-analysis/6QXZcd5aptBvIsdVBbdBuE,229827,4
15,I Ain't Drunk,Cold Snap,Albert Collins,247506,spotify:track:1pPrO5Lcx9UXNebcloGeHE,https://api.spotify.com/v1/tracks/1pPrO5Lcx9UXNebcloGeHE,0.656,0.551,2,-14.141,1,0.0889,0.171,0.000155,0.0676,0.773,125.659,audio_features,1pPrO5Lcx9UXNebcloGeHE,spotify:track:1pPrO5Lcx9UXNebcloGeHE,https://api.spotify.com/v1/tracks/1pPrO5Lcx9UXNebcloGeHE,https://api.spotify.com/v1/audio-analysis/1pPrO5Lcx9UXNebcloGeHE,247507,4
16,If You Love Me Like You Say,Frostbite,Albert Collins,248400,spotify:track:0t3BTxJpdQnnS52cz0ciw9,https://api.spotify.com/v1/tracks/0t3BTxJpdQnnS52cz0ciw9,0.684,0.514,0,-12.524,1,0.0348,0.31,0.0462,0.0533,0.961,114.624,audio_features,0t3BTxJpdQnnS52cz0ciw9,spotify:track:0t3BTxJpdQnnS52cz0ciw9,https://api.spotify.com/v1/tracks/0t3BTxJpdQnnS52cz0ciw9,https://api.spotify.com/v1/audio-analysis/0t3BTxJpdQnnS52cz0ciw9,248400,4
